instructions,LLC-stores,L1-icache-load-misses,branch-load-misses,node-load-misses,rd_req,rd_bytes,wr_req,wr_bytes,flush_operations,rd_total_times,wr_total_times,flush_total_times,label
45355906,8173,4846,16562,1,61,249856,0,0,0,4655016,0,0,1
81315140,9758,5666,28766,1,74,303104,0,0,0,5721459,0,0,1
50107565,12152,4556,53780,2,32,131072,0,0,0,2661003,0,0,1
44462084,2819,5661,43063,0,17,69632,0,0,0,1551111,0,0,1
44998955,14806,152583,33590,0,8,32768,2,8192,0,795932,10418641,0,1
87994357,20379,149130,7796,0,0,0,3,12288,0,0,4387230,0,1
67809680,11771,198809,23111,0,1,4096,5,20480,0,144756,10054550,0,1
39709173,8305,454237,62123,0,2,8192,3,12288,0,159496,1864896,0,1
50609338,10222,116387,23254,0,0,0,2,8192,0,0,3951425,0,1
38770154,11720,656374,82012,1,0,0,0,0,0,0,0,0,1
55520051,12522,204203,19296,0,0,0,2,8192,0,0,1979256,0,1
41560795,14943,230583,47081,1,0,0,2,8192,0,0,2310158,0,1
28065657,9098,651214,81716,2,0,0,2,8192,0,0,754443,0,1
91752831,18445,299512,73652,0,0,0,0,0,0,0,0,0,1
48089115,19150,443563,63205,0,1,4096,5,20480,0,120143,3748550,0,1
41712193,5680,247144,59510,2,1,4096,1,4096,0,123464,2417589,0,1
59903982,19102,164307,47696,0,0,0,0,0,0,0,0,0,1
49704057,18139,226438,13538,1,0,0,1,4096,0,0,384345,0,1
35479225,9594,358517,10736,1,0,0,0,0,0,0,0,0,1
48080756,18193,533411,70987,1,2,8192,0,0,0,238758,0,0,1
22145952,6622,309824,75990,4,0,0,0,0,0,0,0,0,1
58580226,15000,597815,55095,2,0,0,1,4096,0,0,363183,0,1
67521226,6298,662109,30988,1,0,0,1,4096,0,0,310208,0,1
54834721,3307,260080,65336,1,0,0,0,0,0,0,0,0,1
77983698,3863,249374,76259,14,0,0,3,12288,0,0,499033,0,1
32690719,29320,95246,107671,7,0,0,0,0,0,0,0,0,1
63291644,11145,532368,162214,5,0,0,2,8192,0,0,584955,0,1
89562396,17851,293791,57824,4,0,0,1,4096,0,0,270391,0,1
39219047,14897,787982,6845,3,0,0,0,0,0,0,0,0,1
28347024,4913,191519,36775,4,1,4096,1,4096,0,123829,368129,0,1
33465487,18031,576013,35002,2,1,4096,0,0,0,126154,0,0,1
61175217,12246,903312,31545,3,0,0,3,12288,0,0,3814103,0,1
25647848,12243,646152,5085,3,0,0,0,0,0,0,0,0,1
68794443,12467,906425,44703,12,0,0,0,0,0,0,0,0,1
29143817,24692,1068293,58196,2,0,0,1,4096,0,0,2056457,0,1
37274138,11693,814250,44110,2,0,0,1,4096,0,0,1854599,0,1
26958408,14951,773166,60726,0,0,0,0,0,0,0,0,0,1
40949207,22976,1095009,52746,1,0,0,0,0,0,0,0,0,1
57840306,20787,1151092,65278,5,0,0,35,3654656,0,0,301684137,0,1
46720993,10701,1246052,16601,1,8,32768,19,1642496,0,17601766,165025701,0,1
47440634,14645,708761,65645,4,3,12288,32,3094528,0,23010391,368361674,0,1
48395930,15798,752660,38871,0,0,0,54,5622784,0,0,210002370,0,1
28835807,17461,908281,102781,1,4,16384,61,5746688,0,25689640,342008135,0,1
33050317,4090,1204349,36199,0,0,0,53,5148672,0,0,323410323,0,1
29583873,5278,564213,50251,1,0,0,21,2232320,0,0,89760357,0,1
25631179,7140,631806,49548,1,0,0,32,2561024,0,0,318846269,0,1
27562159,21971,1008926,53765,4,0,0,33,2910720,0,0,276738203,0,1
72541963,23442,1130125,78033,1,0,0,0,0,0,0,0,0,1
47365189,7203,1239204,23661,0,0,0,0,0,0,0,0,0,1
38001564,30104,1051273,23015,0,0,0,0,0,0,0,0,0,1
34466835,12964,1095179,73607,0,1,4096,5,413696,0,120726,935570,0,1
32550120,18039,880097,54045,0,0,0,32,2887680,0,0,10520792,0,1
36358599,8302,1152591,68691,4,0,0,0,0,0,0,0,0,1
17418289,3592,862653,68790,0,1,4096,18,663552,0,128881,2095080,0,1
19592186,4663,1030963,25656,1,11,45056,3,364544,0,1176974,681782,0,1
16431029,17049,918492,81573,1,4,16384,9,241664,0,320405,962628,0,1
33318712,12909,786012,48243,0,5,20480,8,331776,0,549521,1711392,0,1
21506087,8530,869836,58991,3,4,24576,44,1384448,0,462746,10921356,0,1
24040858,6262,1011148,88860,2,35,794624,12,249856,0,3324305,1241745,0,1
25929969,15524,668858,88194,9,43,1006592,6,172032,0,3624492,624679,0,1
28882811,15179,1164247,73118,7,41,985600,2,65536,0,4307600,376031,0,1
