,instructions,LLC-stores,L1-icache-load-misses,branch-load-misses,node-load-misses,rd_req,rd_bytes,wr_req,wr_bytes,flush_operations,rd_total_times,wr_total_times,flush_total_times,Label
526,40052700,52822,1491356,159295,1,94,419328,9,36864,0,7692718,7554941,0,1
4248,22461046,2841,381353,415997,5,0,0,0,0,0,0,0,0,0
4623,79577269,8006,11743,304725,0,0,0,0,0,0,0,0,0,0
3939,78318687,291,101313,397595,0,0,0,0,0,0,0,0,0,0
1307,54371527,34489,1220248,50923,2,49,2681344,0,0,0,4254649,0,0,1
816,32446540,33504,680984,64591,2,20,1244160,44,2813440,1,43636310,214909556,698599,1
5152,63888932,3417,16294,269743,0,0,0,0,0,0,0,0,0,0
2619,40956618,20944,716724,36885,0,2,8192,0,0,0,213086,0,0,1
5511,72361786,4709,3317,344227,1,0,0,25,3145728,0,0,26780861,0,0
1139,58516434,23244,648499,27328,2,51,4567552,1,8192,0,4343992,459248,0,1
2280,35898588,33600,690178,128107,6,98,1614848,0,0,0,8319178,0,0,1
3065,27252589,8122,90415,85649,1,0,0,0,0,0,0,0,0,0
5496,45702679,14717,260003,283705,3,0,0,0,0,0,0,0,0,0
1256,78824677,36511,1055730,95398,0,34,3970048,0,0,0,3492675,0,0,1
1204,57088555,25944,1158064,32431,1,12,963584,50,3027968,0,273947924,509191284,0,1
5772,83633209,404,8498,458100,0,0,0,0,0,0,0,0,0,0
791,20722679,23159,914318,122625,4,19,1784320,39,1182720,1,33579368,123386323,383468,1
286,28055421,42279,1335214,124531,0,0,0,29,184320,0,0,34553655,0,1
543,21470016,28124,1268591,151962,0,104,4071424,0,0,0,23011558,0,0,1
2909,3627875,13807,610580,145599,0,75,307200,0,0,0,6154457,0,0,1
4823,63722416,10757,16507,306467,0,0,0,0,0,0,0,0,0,0
1013,66399777,30053,302472,23827,0,15,906240,54,4340224,0,46037829,411759316,0,1
5800,78273765,44859,5852,269214,0,0,0,0,0,0,0,0,0,0
717,13153544,19020,617743,96070,2,42,3397120,31,259072,4,20187216,2889796,2344688,1
1492,25027834,44087,477129,37865,0,5,528384,61,7164928,0,321321,56165901,0,1
4770,78434497,6388,5456,286545,0,0,0,0,0,0,0,0,0,0
1130,41824065,21974,617192,41252,0,50,3945984,1,65536,0,4345685,131342,0,1
3946,75832168,588,24440,352696,5,0,0,0,0,0,0,0,0,0
5933,62681440,5718,4297,627191,0,0,0,1,8192,0,0,132193,0,0
1033,48124022,4947,794529,52530,1,50,3952640,0,0,0,4472564,0,0,1
1979,25269582,38147,971001,84051,1,12,150528,74,7543808,0,39800140,362077127,0,1
3975,68590115,333,3190,423977,0,0,0,0,0,0,0,0,0,0
5757,80372993,912,5433,495111,0,0,0,0,0,0,0,0,0,0
3953,78575626,522,3468,318931,0,0,0,0,0,0,0,0,0,0
3771,69424789,144,3377,400517,0,0,0,0,0,0,0,0,0,0
231,28690627,32649,1180593,144624,0,64,516096,0,0,0,4420214,0,0,1
1947,25857932,10506,1216764,120097,0,54,2297344,1,4096,0,20851136,51285,0,1
408,21567103,45600,1564481,173142,5,59,2456064,0,0,0,5121877,0,0,1
4282,76215298,220,152539,555570,0,0,0,0,0,0,0,0,0,0
751,15628221,9111,783535,30043,1,17,1302016,28,1312256,1,18550645,142410306,812821,1
2048,34584930,27141,1376041,134093,2,6,24576,25,2379776,0,18056761,246069771,0,1
2606,33891650,23257,400308,24059,2,1,4096,35,3658752,0,2385365,331285378,0,1
1832,29061327,29073,1072144,34559,11,27,3104768,0,0,0,31691246,0,0,1
3183,72697658,73,3102,462964,0,0,0,0,0,0,0,0,0,0
794,24221839,26281,903877,136131,19,20,1340928,42,3642880,1,42999129,201492778,1514523,1
1415,3798406,231,227741,13120,2,57,5162496,0,0,0,6779384,0,0,1
1442,2592340,10426,15776,8899,0,23,2313216,55,5569536,0,166126283,464992452,0,1
4283,73095821,263,3400,560938,0,0,0,0,0,0,0,0,0,0
5418,72738716,672,4306,485087,0,0,0,0,0,0,0,0,0,0
106,27684349,14451,911378,133401,0,66,270336,0,0,0,3408185,0,0,1
242,39256156,16972,1331467,189583,0,70,286720,0,0,0,3405359,0,0,1
222,29640726,28183,1301761,140215,0,85,1382912,2,8192,0,9081853,5647028,0,1
5044,69314768,439,11057,546184,0,0,0,0,0,0,0,0,0,0
5313,63735181,822,15182,399548,0,0,0,10,1310720,0,0,9331413,0,0
1743,28469790,18959,541311,91077,1,46,2612224,0,0,0,4358714,0,0,1
59,34688987,22691,799976,154285,0,98,825344,0,0,0,4767582,0,0,1
780,20768642,35,1019055,61721,0,21,2118144,33,949248,1,36809122,124883854,641384,1
4040,85147561,622,3413,222071,0,0,0,0,0,0,0,0,0,0
5077,58460649,728,3871,311073,0,0,0,18,2097152,0,0,75159434,0,0
3043,16455176,9186,651858,108389,4,0,0,0,0,0,0,0,0,0
2751,57008548,15645,587995,76170,0,4,16384,16,27648,0,453686,1118505,0,1
4545,71399249,15536,24400,435867,2,0,0,0,0,0,0,0,0,0
2585,26094634,10841,341951,154070,3,0,0,77,425984,0,0,20763044,0,1
5160,73440135,918,49000,332150,0,0,0,0,0,0,0,0,0,0
829,15150118,19551,166473,62600,2,8,915968,45,4286464,1,9417898,260354157,785807,1
852,65938665,15431,514172,91739,7,40,2869760,64,499712,8,15064362,5022152,3002435,1
3062,6928809,5615,344382,76416,8,0,0,0,0,0,0,0,0,0
4586,63644343,292,128613,353603,0,0,0,0,0,0,0,0,0,0
5905,52624629,1285,5979,504124,0,0,0,0,0,0,0,0,0,0
1650,2720326,33432,19813,7694,0,7,194048,53,2286080,0,37418104,189914197,0,1
638,28557879,38118,1129368,149507,2,51,2804736,39,335872,4,21135594,3847776,2641244,1
